,0,1,2,3,4,5
61,Haus der Kantone / Maison des cantons; Speichergasse 6 3011 Bern,Mo 18.08.2008 10:15 - 11:00,Medientreffpunkt,Konferenz der Kantonsregierungen (KdK); Conférence des gouvernements cantonaux (CdC); 031 320 30 00,ch Stiftung für eingenössische Zusammenarbeit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1284.html
62,Von Wattenwyl-Haus / Maison de Watteville; Junkerngasse 3011 Bern,Fr 06.06.2008 12:00,12:00 Uhr Fototermin; 13:30 Uhr Fototermin; 14:45 Uhr Point de presse,Jean-Philippe Jeannerat; Informationschef EDA / Chef de l'information DFAE; + 41 79 292 40 57,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1285.html
63,Forum Fribourg; Route du Lac 12 1763 Granges-Paccot,Fr 27.06.2008 09:15 - 12:00,"Medienkonferenz; Referenten: Bundesrat Samuel Schmid, Chef VBS; Korpskommandant Roland Nef, Chef der Armee",Christoph Brunner; Stv Armeesprecher / suppléant du porte-parole de l'armée / sost portavoce dell'esercito; 031 325 18 39,Gruppe Verteidigung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1288.html
64,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Fr 06.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1289.html
65,Media Center Host City Bern; (Kornhausforum) 3011 Bern,So 08.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1290.html
66,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Di 10.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1291.html
67,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Do 12.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1292.html
68,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Sa 14.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1293.html
69,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Mo 16.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1294.html
70,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Mi 18.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1295.html
71,Media Center Host City Bern; (Kornhausforum) 3011 Bern,Fr 20.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1296.html
72,Media Center Host City Bern; (Kornhausforum) 3011 Bern,So 22.06.2008 11:30,"Mit Benedikt Weibel, Delegierter des Bundesrates für die UEFA EURO 2008",Barbara Meier; Kommunikationschefin EURO 2008 des Bundes; Projektorganisation Öffentliche Hand UEFA EURO 2008; Hotelgasse 10; CH-3003 Bern; Tel. +41 31 325 88 41; mobile +41 79 244 66 65; barbara.meier@baspo.admin.ch,Gesamtprojektkoordination Bund UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1297.html
73,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral Bern",Di 24.06.2008 14:00,Medienkonferenz,Jean-Yves Gentil; stv. Mediensprecher SP / porte-parole adjoint du PS; 079 672 06 42,SP Schweiz / Second@s Plus Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1300.html
74,Hotel Bern; Zeughausgasse 9 3011 Bern,Di 01.07.2008 10:00 - 11:00,Medienkonferenz,"Hans Hartmann, Gewerkschaft Unia; Tel. 031 350 23 72",Unia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1301.html
75,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Fr 13.06.2008 14:00,Point de presse,Christian Weber; Pressechef FDP Schweiz / Chef de presse PRD Suisse; 031 320 35 35,FDP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1302.html
76,"Medienzentrum Bundeshaus, Kleiner Konferenzraum; Centre de presse du Palais fédéral, Petite salle de conférence; 3003 Bern 3003 Bern",Fr 20.06.2008 08:45 - 09:15,Ist die CVP eine katholische Partei? - Das neue C Papier der JCVP Schweiz,"Martin Fröhlich, JCVP; 078 738 68 90",JCVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1308.html
77,"Hotel Bellevue Palace, Salon Casino; Kochergasse 3-5 3000 Bern",Do 26.06.2008 13:30,"Die Ergebnisse der Studie Mobilfunkmonitor basieren auf einer repräsentativen Befragung von 1206 EinwohnerInnen aus der ganzen Schweiz, welche gfs.Bern im Auftrag des Forum Mobil zwischen dem 28. Januar und dem 24. Februar 2008 durchgeführt hat. Referenten:; Claude Longchamp, gfs-bern; Urs Bieri, gfs-bern; Peter Hidber, Forum Mobil",Forum Mobil; Peter Hidber; Kramgasse 16; 3011 Bern; Tel. 031 312 09 18; hidber@forummobil.ch,Forum Mobil,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1309.html
78,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférence 3003 Bern",Do 14.08.2008 10:15 - 11:30,Medienkonferenz,"Kontaktperson: Roland Schuler, Pro Natura; Medienverantwortlicher; Tel. 061 317 92 24, 079 826 69 47; roland.schuler@pronatura.ch; Personne de contact: Nicolas Wuthrich, Pro Natura; Responsable de l'information; Tél.: 024 425 03 72, 079 212 52 54; nicolas.wuthrich@pronatura.ch","Trägerverein ""Ja zur Landschaftsinitiative""",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1313.html
79,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral 3003 Bern",Mo 23.06.2008 14:00,"Die Referenten:; Aymo Brunetti, Leiter der Direktion für Wirtschaftspolitik des SECO Christian Etter, Leiter der Aussenwirtschaftlichen Fachdienste des SECO Heinz Hertig, Leiter des Ressorts Nichttarifarische Massnahmen des SECO","Antje Baertschi, Tel 031 323 52 75",Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1316.html
80,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférence 3003 Bern",Fr 20.06.2008 17:00,Es wird zeitgleich zur Medienkonferenz eine Medieninformation veröffentlicht.,"Felix Endrich, 079 306 44 21",Gruppe Verteidigung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1317.html
81,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral 3003 Bern",Do 26.06.2008 15:30,"Bundesrat Samuel Schmid, Chef des Eidgenössischen Departements für Verteidigung, Bevölkerungsschutz und Sport; Regierungsrat Markus Notter, Präsident der Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren; Benedikt Weibel, Delegierter des Bundesrates für die EURO 2008; Christian Mutschler, Turnierdirektor Schweiz Euro 2008 SA",Barbara Meier; Kommunikationschefin des Bundes EURO 2008; Telefon +41 31 325 88 41; Mobile +41 79 244 66 65; E-Mail media.euro2008@baspo.admin.ch; www.switzerland.com,Generalsekretariat VBS in Zusammenarbeit mit der Gesamtprojektkoordination Öffentliche Hand UEFA EURO 2008,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1319.html
82,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral; Centro media di Palazzo federale, sala delle conferenze Bern",Fr 27.06.2008 15:30,Silvia Schenker; Kommunikation Militärjustiz / Communication de la justice militaire / Comunicazione della Giustizia militare; 031 324 70 13,Oberauditorat - Militärjustiz,"Attachments   Einladung an die Medien (PDF, 512 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1322.html
83,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 08.07.2008 11:00,Medienkonferenz,Egerkinger Komitee; Postfach; 8416 Flaach; NR Walter Wobmann; Tel. 062 849 04 77; Fax 062 849 04 78; Natel 079 435 45 61; info@walter-wobmann.ch; www.walter-wobmann.ch,Egerkinger Komitee,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1323.html
84,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Fr 27.06.2008 12:30 - 13:15,Medienkonferenz,Alain Hauert; Pressesprecher SVP Schweiz / Porte-parole UDC Suisse; 031 300 58 58,SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1324.html
85,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 26.06.2008 14:00,"Medienkonferenz mit: Bundesrat Hans-Rudolf Merz, Vorsteher des Eidgenössischen Finanzdepartementes; Urs Ursprung, Direktor Eidgenössische Steuerverwaltung; Karl Schwaar, Vizedirektor Eidgenössische Finanzverwaltung",Kommunikation EFD / Communication DFF; 031 322 60 33,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1325.html
86,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 27.06.2008 10:30,"Medienkonferenz mit Bundesrätin Doris Leuthard, Vorsteherin des Eidgenössichen Volkswirtschaftsdepartementes",Kommunikation EVD / Communication DFE; 031 322 20 07,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1326.html
87,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 21.08.2008 14:00 - 15:30,Medienkonferenz,"Bundesamt für Verkehr, Sektion Information; Office fédéral des transports, section information; 031 322 36 43",Bundesamt für Verkehr,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1330.html
88,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Fr 04.07.2008 10:00,Point de presse,Danièle Bersier; Leiterin Mediendienst fedpol / Cheffe du service de presse fedpol; 031 323 13 10,Bundesamt für Polizei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1331.html
89,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Mo 04.08.2008 10:00,Medienkonferenz,"Therese Schmid; Travail.Suisse; Hopfenweg 21, Postfach 5775, 3001 Bern; Tel. 031 370 21 11",Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1333.html
90,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 04.07.2008 11:00,Medienkonferenz,"Therese Schmid; Travail.Suisse; Hopfenweg 21, Postfach 5775, 3001 Bern; Tel. 031 370 21 11",Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1334.html
91,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 30.06.2008 14:00,Medienkonferenz,"Peter Lauener, SP Schweiz / PS Suisse; 031 329 69 92",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1335.html
92,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 03.07.2008 10:00,Medienkonferenz,Anton Kohler; Kommunikation BAZL / Communication OFAC; 031 325 83 70,Bundesamt für Zivilluftfahrt,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1336.html
93,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 03.07.2008 09:00 - 09:30,"Medienkonferenz; Teilnehmer: Otto Ineichen, Nationalrat FDP und Initiant ""Allianz Energetische Gebäudesanierung - JETZT! Ruedi Lustenberger, Nationalrat CVP und Mitglied AEG-J; Simonetta Sommaruga, Ständerätin SP und Mitglied AEG-J; Louis Schelbert, Nationalrat GPS und Mitglied AEG-J; Jean-François Rime, Nationalrat SVP und Mitglied AEG-J",Alex Piazza; apimedia . PR- und Medienagentur; Luzernerstrasse 21 . 6045 Meggen; Tel 041 379 04 62 . Fax 041 379 04 64; www.apimedia.ch . info@apimedia.ch,Allianz Energetische Gebäudesanierung - JETZT! (AEG-J),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1337.html
94,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Di 08.07.2008 10:00 - 11:00,Medienkonferenz,Marianne Binder; Kommunikationschefin CVP Schweiz / Responsable de la communication PDC Suisse; 031 357 33 33 / 079 686 01 31,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1339.html
95,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 05.08.2008 10:00 - 11:00,Medienkonferenz,Marianne Binder; Kommunikationschefin CVP Schweiz / Responsable de la communication PDC Suisse; 031 357 33 33 / 079 686 01 31,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1340.html
96,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 22.08.2008,Medienkonferenz,Hansruedi Moser; Leiter Information und Kommunikation / Chef information et communication; 031 322 37 63,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1341.html
97,"Medienkonferenz: Hotel Bären, Schauplatzgasse 4; Petitionsübergabe: Bundeshaus West, Bundesterrasse (Bundeskanzlei) 3011 Bern",Do 03.07.2008 10:00,"10:00 Uhr Medienkonferenz; 10:45 Uhr Petitionsübergabe; Teilnehmer: Pascale Bruderer - Nationalrätin und Mitglied der parlamentarischen Gruppe für Tibet; Greis - Musiker, Politologe; Daniela Lehmann - Leiterin Geschäftsstelle Gesellschaft Schweizerisch Tibetische Freundschaft (GSTF); Tsewang Erne - Mit-Initiantin der Petition, GSTF Sektion Bern","Kelsang Gope; Sprecher Initiative ""ICH COUCHE NICHT""; c/o Verein Tibeter Jugend in Europa; Binzstrasse 15; 8045 Zürich; Tel: 044 450 88 55; Natel: 079 506 85 12",Gesellschaft Schweizerisch Tibetische Freundschaft / Verein Tibeter Jugend in Europa / Tibeter Gemeinschaft Schweiz Liechtenstein / Tibetische Frauenorganisation,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1342.html
98,Hotel Bern; Zeughausgasse 9 3011 Bern,Di 19.08.2008 09:30,Medienkonferenz,Ewald Ackermann; SGB / USS; 031 377 01 09,Schweizerischer Gewerkschaftsbund (SGB),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1343.html
99,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",So 30.11.2008,Medienkonferenz des Bundesrates,Bundeskanzlei,Links   Abstimmungsvorlagen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1353.html
