 0,Title,Address,Date,Description,Contact,Organisator,URL,New_Date,Year,Month,Day
1721,Allgemeine Einführung in die Benutzung der NB,Schweizerische Nationalbibliothek; Hallwylstrasse 15 3003 Bern,Mi 07.01.2009 17:00 - 18:00,"Anmeldung im Infosaal bis 7.1., 12.00 Uhr",Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1721.html,2009-01-07,2009,1,7
1722,"Einführung in ""Helveticat"", den Online-Katalog der Schweizerischen Nationalbibliothek",Schweizerische Nationalbibliothek; Hallwylstrasse 15 3003 Bern,Di 13.01.2009 14:30 - 15:30,"Anmeldung im Infosaal bis 13.1., 12.00 Uhr",Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1722.html,2009-01-13,2009,1,13
1723,Allgemeine öffentliche Bibliotheksführung,Schweizerische Nationalbibliothek; Hallwylstrasse 15 3003 Bern,Mi 14.01.2009 18:00 - 19:00,Keine Beschreibung,Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1723.html,2009-01-14,2009,1,14
1724,Au début est le verbe : Encyclopédies en Suisse,Bibliothèque nationale suisse; Hallwylstrasse 15 3003 Berne,Mi 14.01.2009 19:00 - 20:00,Visite guidée de l’exposition,Kein Kontakt,Bibliothèque nationale suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1724.html,2009-01-14,2009,1,14
1725,"""Das Vergnügen, eine eigene neue Welt in der Hand zu halten"" Ein Lesebuch erlaubt einen neuen Blick auf Leben und Werk von S.Corinna Bille",Schweizerische Nationalbibliothek; Hallwylstrasse 15 3003 Bern,Mi 21.01.2009 18:00,"Buchvernissage des 25. Bands von Charles Linsmayers Edition ""Reprinted by Huber""",Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1725.html,2009-01-21,2009,1,21
1726,"Derek Law: ""A backward look at the future""",Swiss National Library; Hallwylstrasse 15 3003 Bern,Di 27.01.2009 15:30 - 16:30,Library Science Talk,Kein Kontakt,Swiss National Library,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1726.html,2009-01-27,2009,1,27
1727,"""JA zur Personenfreizügigkeit""","Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 08.01.2009 10:15,Medienkonferenz,"Andreas Käsermann, Medienverantwortlicher / Porte-parole; SP Schweiz - PS Suisse; Telefon 031 329 69 82; Mobile 079 434 07 34; Mail akaesermann@spschweiz.ch; Internet http://www.sp-ps.ch",Überparteiliches Komitee (SP/Grüne/CSP),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1727.html,2009-01-08,2009,1,8
1728,Schlüsselübergabe an der Spitze des VBS,Bundeshaus Ost / Palais fédéral est / Palazzo federale Est Bern,Mo 29.12.2008 09:30,Keine Beschreibung,Martin Bühler; Sprecher VBS / Porte-parole du DDPS / Portavoce del DDPS; Tel. 031 324 50 86,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1728.html,2008-12-29,2008,12,29
1729,Kantonale Haltung zum Personenfreizügigkeitsabkommen,"Inselspital; Wirtschaftsgebäude; Eingang 35, Stock H Bern",Fr 09.01.2009 14:00 - 15:00,Medienkonferenz,"Felix Imhof (031 320 30 22), Sekretariat (031 320 30 00)","Konferenz der Kantonsregierungen, Konferenz der kantonalen Volkswirtschaftsdirektorinnen - und direktoren, Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1729.html,2009-01-09,2009,1,9
1730,"""Ein Nein nützt der Wirtschaft""",Medienzentrum Bundeshaus; Bundesgasse 8; 3003 Bern 3003 Bern,Mo 05.01.2009 14:00,"Pressekonferenz mit alt Bundesrat Christoph Blocher (ZH), SVP-Nationalrätin Jasmin Hutter (SG), EDU-Grossrat Andreas Brönnimann (BE) und Unternehmer Philipp Stauber (VD)",Kein Kontakt,Überparteiliches Wirtschaftskomitee gegen die Ausdehnung der Personenfreizügigkeit auf Rumänien und Bulgarien,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1730.html,2009-01-05,2009,1,5
1731,"""Ja zu den erfolgreichen Bilateralen""",Medienzentrum Bundeshaus; Bundesgasse 8 3003 Bern,Di 06.01.2009 11:30,"Pressekonferenz mit; Martine Brunschwig Graf, Nationalrätin, LPS; Johannes Schneider-Ammann, Unternehmer und Nationalrat, FDP; Hans Grunder, Nationalrat und Präsident der BDP; Philippe Thuner, Unternehmer (VD)",michel@fdp.ch (deutsch) oder mathieu.erb@liberal.ch (français),Überparteiliches liberales Komitee,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1731.html,2009-01-06,2009,1,6
1732,Arbeitsbesuch des österreichischen Bundeskanzlers Werner Faymann,Bernerhof 3003 Bern,Mi 07.01.2009 12:15,Point de presse,Jean-Michel Treyvaud; Département fédéral des finances DFF; Tel. +41 31 322 60 31,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1732.html,2009-01-07,2009,1,7
1734,Konjunkturprogramm,Hotel Kreuz 3011 Bern,Di 20.01.2009 09:15,Keine Beschreibung,Ewald Ackermann Tel. 031 377 01 09,SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1734.html,2009-01-20,2009,1,20
1735,"""Nein zu noch mehr Einwanderung durch die Personenfreizügigkeit""",Medienzentrum Bundeshaus 3003 Bern,Fr 09.01.2009 10:00,Medienkonferenz,Alain Hauert; Telefon 031 300 58 50; mailto:hauert@svp.ch,Überparteiliches Komitee gegen die unkontrollierte Einwanderung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1735.html,2009-01-09,2009,1,9
1736,"""Ja zur Personenfreizügigkeit"" - Medienkonferenz der Gesundheitsdienstleister",Hotel Kreuz 3011 Bern,Fr 16.01.2009 10:00,Keine Beschreibung,reinhard.voegele@hplus.ch; Mobil: 079 571 00 00; m.mueller@curaviva.ch; Mobil: 078 891 39 38,H+ Die Spitäler der Schweiz / CURAVIVA - Verband Heime und Institutionen Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1736.html,2009-01-16,2009,1,16
1737,Jahres-Medienkonferenz des Schweizer Zolls und des Grenzwachtkorps,Grenzübergang Thayngen 8240 Thayngen SH,Do 05.02.2009 10:30,"Themen:; Herausforderungen im Bereich des grenzüberschreitenden Waren- und Personenverkehrs, Schmuggelbilanz 2008 (Betäubungsmittel etc.); Zollgrenze als Herausforderung für Zoll und Wirtschaft; Sicherheitskontrollen im Schwerverkehr.",Stefanie Widmer; Eidgenössische Zollverwaltung EZV; Tel. +41 31 322 50 56; stefanie.widmer@ezv.admin.ch,Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1737.html,2009-02-05,2009,2,5
1738,Präsentation kontakt.sev,Hotel Kreuz 3011 Bern,Do 22.01.2009 10:45,Medienkonferenz,"Peter Moor, 031 357 57 50",SEV,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1738.html,2009-01-22,2009,1,22
1739,"""Ja zum erfolgreichen bilateralen Weg""",Medienzentrum Bundeshaus 3003 Bern,Do 15.01.2009 10:00,Pressekonferenz der CVP Schweiz,Marianne Binder; 031 357 33 33 079 686 01 31; binder@cvp.ch,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1739.html,2009-01-15,2009,1,15
1740,"""100 Jahre Pro Natura""",Hotel Kreuz; Zeughausgasse 41; 3000 Bern 7 3011 Bern,Do 22.01.2009 10:15,Eine Sonderbriefmarke als Geburtstagsgeschenk,"Roland Schuler; Tel. 061 317 92 24, Mobile 079 826 69 47; roland.schuler@pronatura.ch",Pro Natura,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1740.html,2009-01-22,2009,1,22
1741,Medikamentenmarkt Schweiz 2008,Hotel Bellevue 3011 Bern,Fr 23.01.2009 10:30,Keine Beschreibung,Martin Rubeli; Tel. 041 727 67 80; Mobile 079 330 45 16; Mail: martin_rubeli@rubeli.ch,vips Vereinigung Pharmafirmen in der Schweiz; Interpharma; SGCI Chemie Pharma Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1741.html,2009-01-23,2009,1,23
1742,Neujahrsempfang,Parlamentsgebäude 3003 Bern,Mi 14.01.2009 14:50,Keine Beschreibung,Linda Shepard; 079 544 48 16,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1742.html,2009-01-14,2009,1,14
1743,Die GPK-N/S informiert aus ihrem Seminar,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 22.01.2009 15:15,Medienkonferenz,Kein Kontakt,GPK-N und GPK-S,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1743.html,2009-01-22,2009,1,22
1744,Weiterentwicklung der schweizerischen Integrationspolitik,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 20.01.2009 10:00,"Medienkonferenz; Referenten: Eveline Widmer-Schlumpf, Bundesrätin; Jean-Claude Mermoud, Staatsrat VD und Präsident der TAK; Philippe Perrenoud, Regierungsrat BE; Ruedi Meier, Präsident Städteinitiative Sozialpolitik/Stadtrat Luzern","Bundesamt für Migration, Information & Kommunikation; Office fédéral des migrations, information et communication; 031 325 78 44",Eidgenössisches Justiz- und Polizeidepartement EJPD,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1744.html,2009-01-20,2009,1,20
1746,Ärztestopp,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 16.01.2009 13:30,Medienkonferenz,Kein Kontakt,SGK-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1746.html,2009-01-16,2009,1,16
1749,Nukleare Aufsicht im Rückblick und Veröffentlichung des Aufsichtsberichts 2008,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 11.05.2009 10:00 - 11:00,Medienkonferenz,"Anton Treier, Leiter Information; Eidgenössisches Nuklearsicherheitsinspektorat ENSI; Tel. +4156 310 38 70; anton.treier@ensi.ch; www.ensi.ch",Eidgenössisches Nuklearsicherheitsinspektorat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1749.html,2009-05-11,2009,5,11
1750,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 06.05.2009 13:00,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1750.html,2009-05-06,2009,5,6
1751,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 13.05.2009 11:45,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1751.html,2009-05-13,2009,5,13
1752,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 20.05.2009 16:00,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1752.html,2009-05-20,2009,5,20
1753,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 29.05.2009 14:45,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1753.html,2009-05-29,2009,5,29
1754,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 05.06.2009 14:45,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1754.html,2009-06-05,2009,6,5
1755,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 17.06.2009 14:00,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1755.html,2009-06-17,2009,6,17
1756,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",So 31.12.2006,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1756.html,2006-12-31,2006,12,31
1757,Letzte Bundesratssitzung vor der Sommerpause,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 01.07.2009 13:30,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1757.html,2009-07-01,2009,7,1
1758,Beginn der Sesssion,Parlamentsgebäude; Palais du Parlement Bern,Mo 25.05.2009 14:30,Sommersession der Eidgenössischen Räte (bis 12. Juni 2009),Kein Kontakt,Bundesversammlung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1758.html,2009-05-25,2009,5,25
1759,Eidg. Volksabstimmung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",So 17.05.2009 16:45,"Medienkonferenz des Bundesrates; Vorlagen: Bundesbeschluss vom 3. Oktober 2008 ""Zukunft mit Komplementärmedizin"" (Gegenentwurf zur zurückgezogenen Volksinitiative ""Ja zur Komplementärmedizin""); Bundesbeschluss vom 13. Juni 2008 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der Europäischen Gemeinschaft betreffend die Übernahme der Verordnung über biometrische Pässe und Reisedokumente (Weiterentwicklung des Schengen-Besitzstands)",Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1759.html,2009-05-17,2009,5,17
1761,Die Relevanz des UNO-Frauenrechtsübereinkommens CEDAW für die juristische Praxis - Aktuelle Fragen und Handlungsperspektiven,Kursaal Bern; Kornhausstrasse 3 3013 Bern,Do 05.03.2009 09:30 - 16:30,"Fachtagung für Juristinnen und Juristen, Anwaltschaft, Gerichte, Verwaltung, Forschung und Lehre; Die Schweiz hat das UNO-Übereinkommen zur Beseitigung jeder Form von Diskriminierung der Frau (CEDAW) im März 1997 ratifiziert und inzwischen den Dritten Staatenbericht an den zuständigen Ausschuss gegen die Diskriminierung der Frau abgeliefert. Dennoch ist das Potenzial dieses Übereinkommens für das innerstaatliche Recht auch in juristischen Fachkreisen noch wenig ausgelotet. CEDAW enthält ein geschlechtsspezifisches und asymmetrisches Diskriminierungsverbot: Es schützt ausschliesslich die Frauen vor Diskriminierung. Zudem stellt nach CEDAW die Einräumung von Vorteilen für die faktisch benachteiligte Gruppe (der Frauen) grundsätzlich keine Diskriminierung dar: Befristete Sondermassnahmen zur beschleunigten Herbeiführung der De-facto-Gleichstellung gelten nicht als verbotene Diskriminierung. Die Ratifizierung des Zusatzprotokolls zu CEDAW durch die Schweiz ermöglicht es nunmehr betroffenen Frauen, nach Ausschöpfung der nationalen Rechtswege die internationale Kontrollinstanz wegen Verletzung von CEDAW-Bestimmungen anzurufen. Ziel der Tagung ist es, die mit CEDAW verbundenen rechtlichen Fragestellungen zu beleuchten und zu diskutieren, in welcher Weise die internationalen Standards für die eigenen juristischen Arbeitsschwerpunkte und -methoden genutzt werden können.",Elisabeth Keller; Leiterin Sekretariat Eidgenössische Kommission für Frauenfragen EKF; Responsable du secrétariat de la Commission fédérale pour les questions féminines CFQF; Schwarztorstrasse 51; 3003 Bern; Tel. 031 322 92 76; elisabeth.keller@ebg.admin.ch,Eidgenössische Kommission für Frauenfragen EKF und Eidgenössisches Departement für auswärtige Angelegenheiten EDA,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1761.html,2009-03-05,2009,3,5
1763,Medien-Besuchstag am Armeeeinsatz WEF,Mels,Di 27.01.2009 08:00 - 12:15,Die Armee unterstützt auch dieses Jahr den Kanton Graubünden im Rahmen der Sicherheit rund um das WEF 2009. An einem Besuchstag für die Medien stellt die Armee ihre Aufgaben und Leistungen vor.,"Stefan Hofer, Chef Kommunikation Führungsstab der Armee; Telefon 031 323 37 41; E-Mail stefan.hofer@vtg.admin.ch",Generalsekretariat VBS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1763.html,2009-01-27,2009,1,27
1764,Transfer von Teilen des Dienstes für Analyse und Prävention vom EJPD ins VBS: Bilanz und Perspektiven,Medienzentrum Bundeshaus 3000 Bern,Mo 26.01.2009 10:00,Medienkonferenz,"Dominique Bugnon, Informationschef VBS; 031 324 61 70",Generalsekretariat VBS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1764.html,2009-01-26,2009,1,26
1765,Rücktritt der Präsidentin der CVP Frauen Ida Glanzmann-Hunkeler,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 19.01.2009 14:30,Medienkonferenz,Ida Glanzmann-Hunkeler; 079 657 10 65,CVP Frauen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1765.html,2009-01-19,2009,1,19
1766,Personenfreizügigkeit,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 20.01.2009 14:00 - 14:30,Medienkonferenz,Kein Kontakt,"Überparteiliches Komitee ""Personenfreizügigkeit"" / AUNS",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1766.html,2009-01-20,2009,1,20
1768,Weiterbildung und Bildungsgutscheine - Resultate aus einem experimentellen Feldversuch,Polit-Forum Käfigturm; Marktgasse 67 3011 Bern,Mo 23.02.2009 09:15 - 10:15,"Medienkonferenz; Referierende: Dr. Ursula Renold, Direktorin Bundesamt für Berufsbildung und Technologie BBT; Prof. Dr. Stefan C. Wolter, Projektleiter und Autor der Studie, Forschungsstelle für Bildungsökonomie der Universität Bern (FfB)","Bundesamt für Berufsbildung und Technologie BBT, Kommunikation, tiziana.fantini@bbt.admin.ch, Tel. 031 323 04 59",Bundesamt für Berufsbildung und Technologie (BBT) - ab 1.1.2013 SBFI,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1768.html,2009-02-23,2009,2,23
1769,"""Weil das Recht auf Nahrung ein gutes Klima braucht""","Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 23.02.2009 11:00 - 12:00,Medienkonferenz mit Nationalratspräsidentin Chiara Simoneschi-Cortesi und Indio-Bischof Erwin Kräutler,Federica Mauri; Responsabile comunicazione per la Svizzera italiana; SACRIFICIO QUARESIMALE; via al Forte 2; casella postale 6350; 6901 Lugano; telefono diretto 091 922 70 47,Fastenopfer und Brot für alle,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1769.html,2009-02-23,2009,2,23
1770,"Treffen der Innenminister der Bundesrepublik Deutschland, der Republik Österreich, des Fürstentums Liechtenstein und der Vorsteherin des Eidg. Justiz- und Polizeidepartements (EJPD)",Hotel Panorama Resort & Spa 8835 Feusisberg SZ,Fr 23.01.2009 11:30 - 12:00,Mediengespräch,"Philippe Piatti, Informationsdienst EJPD, Tel. +41 31 322 40 29",Eidgenössisches Justiz- und Polizeidepartement EJPD,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1770.html,2009-01-23,2009,1,23
1772,Abstimmung zur Personenfreizügigkeit,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 29.01.2009 09:30,Point de Presse mit alt Bundesrat Joseph Deiss und Parteipräsident Christophe Darbellay,"Marianne Binder, CVP Schweiz / PDC Suisse; 031 357 33 33 / 079 686 01 31",CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1772.html,2009-01-29,2009,1,29
1773,Offizieller Arbeitsbesuch des chinesischen Premierministers WEN Jiabao in Bern,Bern,Di 27.01.2009,Keine Beschreibung,"Für Auskünfte: Oswald Sigg, Bundesratssprecher, Tel. +41 31 322 37 03; Für organisatorische Auskünfte: Linda Shepard, Informationsbeauftragte EDA, Tel. +41 79 544 48 16",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1773.html,2009-01-27,2009,1,27
1775,Green New Deal,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 27.02.2009 10:15 - 11:15,Medienkonferenz,"Marchet Tratschin, Sekretariat GPS, Tel: 031 312 66 60, marchet.tratschin@gruene.c",Grüne Partei der Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1775.html,2009-02-27,2009,2,27
1776,80 Jahre Zoo Zürich,Zürich,Sa 31.01.2009,Rede von Bundespräsident Hans-Rudolf Merz an der Feier zum 80jährigen Jubiläum des Zürcher Zoo.,Kein Kontakt,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1776.html,2009-01-31,2009,1,31
1777,Medienkonferenz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 27.01.2009 13:00,Pa.Iv. SGK-NR. Übergangslösung Zulassungsstopp; 11. AHV-Revision. Leistungsseitige Massnahmen; 1. AHV-Revision. Einführung einer Vorruhestandsleistung,Kein Kontakt,SGK-S,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1777.html,2009-01-27,2009,1,27
1778,Gegen Verschärfungen im AsylG und AuG,Vatter Business Center; Bärenplatz 2 3011 Bern,Do 26.03.2009 10:15 - 11:30,Medienkonferenz,Catherine Weber; Gegeschäftsführerin; Demokratische JuristInnen Schweiz; Juristes démocrates de Suisse; DJS JDS; Neuengasse 8; 3011 Bern; Tel. 031 312 83 34,Demokratische Juristinnen und Juristen Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1778.html,2009-03-26,2009,3,26
1780,Von-Wattenwyl-Gespräche,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 13.02.2009,Medienkonferenz,Hansruedi Moser; Leiter Information und Kommunikation / Chef information et communication; 031 322 37 63,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1780.html,2009-02-13,2009,2,13
1781,Medienkonferenz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 27.01.2009 16:00,Waffen und Munition. Schlussbericht der Arbeitsgruppe Ordonanzwaffen; Abrüstung,Kein Kontakt,SiK-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1781.html,2009-01-27,2009,1,27
1783,Lehrstellenkrise,Hotel Bern; Zeughausgasse 9 3011 Bern,Do 19.02.2009 10:00,Medienkonferenz,"Ewald Ackermann, SGB/USS; Tel. 031 377 01 09",Schweizerischer Gewerkschaftsbund SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1783.html,2009-02-19,2009,2,19
1784,"Medienkonferenz ""Sirenentest 2009"" / Informationsanlass ""Wasseralarm"", Staumauer Grande Dixence","Hotel Bellevue Palace, Kochergasse 3-5; Staumauer Grande Dixence / Barrage de la Grande Dixence; Bern und Staumauer Grande Dixence",Di 03.02.2009 10:15 - 14:30,Keine Beschreibung,"Kurt Münger, Telefon +41 31 322 55 83, kurt.muenger@babs.admin.ch",Bundesamt für Bevölkerungsschutz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1784.html,2009-02-03,2009,2,3
1785,Medienkonferenz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 06.02.2009 10:00,Bestimmung und Überprüfung ärtzlicher Leistungen in der obligatorischen Krankenpflegeversicherung,Kein Kontakt,GPK-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1785.html,2009-02-06,2009,2,6
1786,Jahresmedienkonferenz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 09.03.2009 10:30,"Themen: Bericht und Empfehlungen der Kommission zur ""Aufnahme von Flüchtlingsgruppen und Hilfe vor Ort""; Stellungnahme der Kommission zur Revision von Ausländer- und Asylgesetz; Studie und Empfehlungen zur Frühförderung","Elsbeth Steiner; Informationsbeauftragte; Eidgenössische Kommission für Migrationsfragen (EKM); elsbeth.steiner@bfm.admin.ch; Quellenweg 9, CH-3003 Bern-Wabern; Tel 031 324 52 61 / 079 292 34 79; www.ekm.admin.ch; www.terra-cognita.ch",Eidgenössische Migrationskommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1786.html,2009-03-09,2009,3,9
1787,Tarifänderungen bei Laboranalysen und TARMED,"Centre de presse du Palais fédéral, salle de conférences; Medienzentrum Bundeshaus, Konferenzsaal Bern",Do 29.01.2009 14:00,"Teilnehmende: Bundesrat Pascal Couchepin, Vorsteher EVD; Thomas Zeltner, Direktor BAG; Sandra Schneider, Leiterin Abteilung Leistungen BAG",Katja Zürcher-Mäder; Tel. +41 31 322 81 00; katja.zuercher-maeder@gs-edi.admin.ch,Eidgenössisches Departement des Innern (EDI),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1787.html,2009-01-29,2009,1,29
1789,Allgemeine Einführung in die Benutzung der NB,Hallwylstrasse 15 3003 Bern,Mi 04.02.2009 17:00 - 18:00,"Anmeldung im Infosaal bis 4.2., 12.00 Uhr",Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1789.html,2009-02-04,2009,2,4
1790,Am Anfang ist das Wort: Lexika in der Schweiz,Hallwylstrasse 15 3003 Bern,Mi 04.02.2009 18:00 - 19:00,Führung durch die Ausstellung,Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1790.html,2009-02-04,2009,2,4
1791,Am Anfang ist das Wort: Lexika in der Schweiz,Hallwylstrasse 15 3003 Bern,Mi 11.02.2009 18:00 - 19:00,Führung durch die Ausstellung,Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1791.html,2009-02-11,2009,2,11
1792,Am Anfang ist das Wort: Lexika in der Schweiz,Hallwylstrasse 15 3003 Bern,So 15.02.2009 12:30 - 13:30,Führung durch die Ausstellung,Kein Kontakt,Schweizerische Nationalbibliothek,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1792.html,2009-02-15,2009,2,15
